Order ID,Subject Address,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Comp Rank,Match Score,Candidate Address,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Recent Sale (180 days),Property Match Score,Size Similarity
4763086,N/A,1283.0,54450.0,2.0,3.0,Detached,Bungalow,2025-04-15,2,39.7%,N/A,1975.0,3100.0,3.0,3.0,Detached,2 Storey,2025-01-21,692 (35.0%),51350 (1655.9%),1.0,0.0,1,0,1,1,0.70,0.13
4763086,N/A,1283.0,54450.0,2.0,3.0,Detached,Bungalow,2025-04-15,3,26.7%,N/A,2142.0,3300.0,4.0,4.0,Detached,2 Storey,2025-01-27,859 (40.1%),51150 (1549.5%),2.0,1.0,1,0,1,1,0.70,0.10
4763087,N/A,1530.0,,3.0,2.0,Condominium,1 Storey,2025-04-17,1,77.2%,N/A,1553.0,,2.0,2.0,Condominium,1 Storey,2025-02-18,23 (1.5%),nan (nan%),1.0,0.0,1,1,1,1,1.00,0.81
4763087,N/A,1530.0,,3.0,2.0,Condominium,1 Storey,2025-04-17,2,53.5%,N/A,1582.0,,3.0,2.0,Condominium,1 Storey,2025-05-13,52 (3.3%),nan (nan%),0.0,0.0,1,1,1,1,1.00,0.66
4763087,N/A,1530.0,,3.0,2.0,Condominium,1 Storey,2025-04-17,3,12.3%,N/A,1510.0,,2.0,2.0,Condominium,,2025-05-09,20 (1.3%),nan (nan%),1.0,0.0,1,1,1,1,nan,0.83
4764094,N/A,1746.0,6825.0,3.0,2.5,Detached,Split Level,2025-04-16,1,26.7%,N/A,1916.0,16865.0,4.0,3.0,Detached,Split Level,2025-04-02,170 (8.9%),10040 (59.5%),1.0,0.5,1,1,1,1,1.00,0.37
4764094,N/A,1746.0,6825.0,3.0,2.5,Detached,Split Level,2025-04-16,2,12.1%,N/A,1092.0,7165.0,4.0,3.0,Detached,Split Level,2025-03-10,654 (59.8%),340 (4.7%),1.0,0.5,1,1,1,1,1.00,0.13
4764094,N/A,1746.0,6825.0,3.0,2.5,Detached,Split Level,2025-04-16,3,10.1%,N/A,1418.0,10209.0,4.0,3.0,Detached,Split Level,2025-03-04,328 (23.1%),3384 (33.1%),1.0,0.5,1,1,1,1,1.00,0.23
4764103,N/A,1602.0,3694.0,2.0,3.0,Semi Detached,2 Storey,2025-04-16,1,27.8%,N/A,1561.0,3872.0,3.0,0.0,Detached,2 Storey,2025-02-27,41 (2.6%),178 (4.6%),1.0,3.0,0,1,1,1,0.60,0.71
4764103,N/A,1602.0,3694.0,2.0,3.0,Semi Detached,2 Storey,2025-04-16,2,12.4%,N/A,1481.0,4048.0,3.0,0.0,Detached,2 Storey,2025-03-03,121 (8.2%),354 (8.7%),1.0,3.0,0,1,1,1,0.60,0.45
4764103,N/A,1602.0,3694.0,2.0,3.0,Semi Detached,2 Storey,2025-04-16,3,9.4%,N/A,2750.0,4000.0,5.0,0.0,Detached,2 Storey,2025-03-24,1148 (41.7%),306 (7.6%),3.0,3.0,0,1,1,1,0.60,0.08
4761696,N/A,1751.0,3358.0,3.0,2.5,Townhouse,2 Storey,2025-04-14,1,44.4%,N/A,1726.0,3267.0,3.0,0.0,Semi Detached,2 Storey,2025-01-16,25 (1.4%),91 (2.8%),0.0,2.5,0,1,1,1,0.60,0.80
4761696,N/A,1751.0,3358.0,3.0,2.5,Townhouse,2 Storey,2025-04-14,2,21.0%,N/A,1696.0,1960.0,3.0,3.0,Townhouse,2 Storey,2025-02-10,55 (3.2%),1398 (71.3%),0.0,0.5,1,1,1,1,1.00,0.65
4761696,N/A,1751.0,3358.0,3.0,2.5,Townhouse,2 Storey,2025-04-14,3,2.3%,N/A,1750.0,,3.0,0.0,Townhouse,2 Storey,2025-04-29,1 (0.1%),nan (nan%),0.0,2.5,1,1,1,1,1.00,0.99
4762154,N/A,1523.0,,2.0,2.0,Condominium,1 Storey,2025-04-15,1,8.6%,N/A,1463.0,,2.0,2.0,Condominium,,2025-05-13,60 (4.1%),nan (nan%),0.0,0.0,1,1,1,1,nan,0.62
4762154,N/A,1523.0,,2.0,2.0,Condominium,1 Storey,2025-04-15,2,3.6%,N/A,1010.0,,2.0,2.0,Condominium,1 Storey,2025-05-13,513 (50.7%),nan (nan%),0.0,0.0,1,1,1,1,1.00,0.16
4762154,N/A,1523.0,,2.0,2.0,Condominium,1 Storey,2025-04-15,3,2.2%,N/A,1150.0,,2.0,2.0,Condominium,1 Storey,2025-01-27,373 (32.4%),nan (nan%),0.0,0.0,1,1,1,1,1.00,0.21
4762330,N/A,2456.0,5909.436,4.0,2.5,Detached,2 Storey,2025-04-14,1,81.7%,N/A,3236.0,5182.0,5.0,4.0,Detached,2 Storey,2025-02-06,780 (24.1%),727 (14.0%),1.0,1.5,1,1,1,1,1.00,0.11
4762330,N/A,2456.0,5909.436,4.0,2.5,Detached,2 Storey,2025-04-14,2,77.9%,N/A,2323.0,5244.0,4.0,3.0,Detached,2 Storey,2025-01-21,133 (5.7%),665 (12.7%),0.0,0.5,1,1,1,1,1.00,0.43
4762330,N/A,2456.0,5909.436,4.0,2.5,Detached,2 Storey,2025-04-14,3,75.4%,N/A,2242.0,19589.0,4.0,2.5,Detached,2 Storey,2025-04-16,214 (9.5%),13680 (69.8%),0.0,0.0,1,1,1,1,1.00,0.32
4762406,N/A,3332.0,42495.0,5.0,2.5,Detached,1.5 Storey,2025-04-17,1,31.8%,N/A,2440.0,23890.0,3.0,2.5,Detached,1.5 Storey,2025-03-07,892 (36.5%),18605 (77.9%),2.0,0.0,1,1,1,1,1.00,0.10
4762406,N/A,3332.0,42495.0,5.0,2.5,Detached,1.5 Storey,2025-04-17,2,18.6%,N/A,1504.0,49455.0,3.0,2.0,Detached,1 Storey,2024-10-28,1828 (121.5%),6960 (14.1%),2.0,0.5,1,0,0,1,0.40,0.05
4762406,N/A,3332.0,42495.0,5.0,2.5,Detached,1.5 Storey,2025-04-17,3,9.8%,N/A,644.0,30811.0,3.0,1.5,Detached,1.5 Storey,2024-12-11,2688 (416.7%),11684 (37.9%),2.0,1.0,1,1,0,1,0.70,0.04
4761220,N/A,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,1,0.5%,N/A,1598.0,2460.0,3.0,0.0,Semi Detached,2 Storey,2025-03-28,73 (4.6%),159 (6.5%),0.0,3.5,1,1,1,1,1.00,0.58
4761220,N/A,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,2,0.4%,N/A,1775.0,2475.0,4.0,0.0,Semi Detached,2 Storey,2025-03-03,250 (14.1%),144 (5.8%),1.0,3.5,1,1,1,1,1.00,0.29
4761220,N/A,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,3,0.3%,N/A,1300.0,2180.0,3.0,0.0,Townhouse,2 Storey,2025-01-17,225 (17.3%),439 (20.1%),0.0,3.5,0,1,1,1,0.60,0.31
4761433,N/A,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,1,2.9%,N/A,2494.0,11029.0,5.0,4.0,Detached,2 Storey,2025-03-21,401 (16.1%),15671 (142.1%),1.0,1.0,1,0,1,1,0.70,0.20
4761433,N/A,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,2,1.7%,N/A,3277.0,11104.0,5.0,4.0,Detached,2 Storey,2025-04-25,382 (11.7%),15596 (140.4%),1.0,1.0,1,0,1,1,0.70,0.21
