Order ID,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Rank,Ranking Score,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Size Similarity,Property Match Score,Total Difference Score,_score
4760900,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,2,4.8206,1433.0,2949.0,3.0,2.5,Detached,2 Storey,2025-03-19,140 (9.8%),1109,0.0,0.0,Yes,Yes,Yes,0.416,1.000,4.319,4.8206
4760900,1573.4,4058.028,3.0,2.5,Detached,2 Storey,2025-04-10,3,4.8206,1520.0,2798.0,3.0,2.5,Detached,2 Storey,2025-03-25,53 (3.5%),1260,0.0,0.0,Yes,Yes,Yes,0.652,1.000,1.805,4.8206
4761220,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,1,1.6249,1598.0,2460.0,3.0,0.0,Semi Detached,2 Storey,2025-03-28,73 (4.6%),159,0.0,3.5,Yes,Yes,Yes,0.578,1.000,2.727,1.6249
4761220,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,2,1.5414,1775.0,2475.0,4.0,0.0,Semi Detached,2 Storey,2025-03-03,250 (14.1%),144,1.0,3.5,Yes,Yes,Yes,0.286,1.000,6.534,1.5414
4761220,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,3,1.0458,1750.0,,3.0,0.0,Semi Detached,2 Storey,2025-04-11,225 (12.9%),nan,0.0,3.5,Yes,Yes,Yes,0.308,1.000,5.843,1.0458
4761433,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,1,1.8628,2494.0,11029.0,5.0,4.0,Detached,2 Storey,2025-03-21,401 (16.1%),15671,1.0,1.0,Yes,No,Yes,0.200,0.700,8.031,1.8628
4761433,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,2,1.8264,3277.0,11104.0,5.0,4.0,Detached,2 Storey,2025-04-25,382 (11.7%),15596,1.0,1.0,Yes,No,Yes,0.207,0.700,6.063,1.8264
4761433,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,3,0.9867,2386.0,20648.0,3.0,2.5,Detached,1.5 Storey,2025-04-29,509 (21.3%),6052,1.0,0.5,Yes,No,Yes,0.164,0.700,10.233,0.9867
4761446,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,1,3.9947,1721.0,5929.0,5.0,1.5,Detached,Split Level,2025-01-31,43 (2.5%),266,2.0,0.5,Yes,No,Yes,0.699,0.700,2.099,3.9947
4761446,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,2,3.6273,1335.0,6600.0,3.0,2.0,Detached,Split Level,2025-02-19,343 (25.7%),937,0.0,0.0,Yes,No,Yes,0.226,0.700,10.277,3.6273
