orderID,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,subj_room_count,room_count_clean,room_count_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,sale_date_clean,sold_recently_90,sold_recently_180
4759647,2264.0,2343.0,79.0,33943.0,50853.0,16910.0,4.0,4.0,0.0,2.5,2.5,0.0,9.0,7.0,2.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-21,1,1
4759647,2264.0,1664.0,600.0,33943.0,82700.0,48757.0,4.0,3.0,1.0,2.5,2.5,0.0,9.0,6.0,3.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-14,1,1
4759723,2530.0,3574.0,1044.0,5987.0,6196.0,209.0,3.0,4.0,1.0,3.5,4.5,1.0,9.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-01-25,1,1
4759723,2530.0,3756.0,1226.0,5987.0,5600.0,387.0,3.0,4.0,1.0,3.5,4.5,1.0,9.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-01-31,1,1
4759723,2530.0,2442.0,88.0,5987.0,5823.0,164.0,3.0,3.0,0.0,3.5,3.5,0.0,9.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-02-05,1,1
4760530,2149.0,2017.0,132.0,438082.92,436863.24,1219.679999999993,4.0,3.0,1.0,3.5,3.5,0.0,7.0,6.0,1.0,Detached,Detached,1.0,Bungalow Raised,Bungalow Raised,1.0,2025-03-28,1,1
4760530,2149.0,2133.0,16.0,438082.92,53143.2,384939.72,4.0,3.0,1.0,3.5,3.0,0.5,7.0,7.0,0.0,Detached,Detached,1.0,Bungalow Raised,Bungalow,0.0,2024-12-03,0,1
4760530,2149.0,2676.0,527.0,438082.92,64033.2,374049.72,4.0,4.0,0.0,3.5,4.5,1.0,7.0,11.0,4.0,Detached,Detached,1.0,Bungalow Raised,Bungalow,0.0,2024-09-06,0,0
4760630,1840.0,2250.0,410.0,1742.0,2014.0,272.0,4.0,5.0,1.0,1.0,2.5,1.5,8.0,9.0,1.0,Townhouse,Townhouse,1.0,2.5 Storey,2.5 Storey,1.0,2025-01-20,1,1
4760630,1840.0,1750.0,90.0,1742.0,1785.0,43.0,4.0,5.0,1.0,1.0,1.5,0.5,8.0,10.0,2.0,Townhouse,Townhouse,1.0,2.5 Storey,2.5 Storey,1.0,2025-03-26,1,1
4760630,1840.0,1750.0,90.0,1742.0,986.0,756.0,4.0,6.0,2.0,1.0,2.0,1.0,8.0,10.0,2.0,Townhouse,Townhouse,1.0,2.5 Storey,2 Storey,0.0,2025-04-07,1,1
