orderID,is_good_comp_predicted,probability_good_comp
4763086,0,0.03
4763086,0,0.07
4763086,0,0.01
4763086,0,0.07
4763086,0,0.0
4763086,0,0.0
4763086,0,0.01
4763086,0,0.0
4763086,0,0.0
4763086,0,0.04
4763086,0,0.03
4763086,0,0.01
4763086,0,0.07
4763086,0,0.01
4763086,0,0.01
4763086,0,0.01
4763086,0,0.14
4763086,0,0.16
4763086,0,0.01
4763086,0,0.03
4763086,0,0.0
4763086,0,0.01
4763086,0,0.04
4763086,0,0.0
4763086,0,0.02
4763087,0,0.0
4763087,0,0.0
4763087,0,0.02
4763087,0,0.19
4763087,0,0.0
4763087,0,0.0
4763087,0,0.0
4763087,0,0.42
4763087,0,0.01
4763087,0,0.0
4763087,0,0.0
4763087,0,0.11
4763087,0,0.21
4763087,0,0.0
4763087,0,0.0
4763087,0,0.0
4763087,0,0.05
4763087,0,0.02
4763087,0,0.07
4763087,0,0.0
4763087,0,0.0
4763087,0,0.03
4763087,0,0.02
4763087,0,0.12
4763087,0,0.02
4763087,0,0.05
4763087,0,0.0
4763087,0,0.18
4763087,0,0.19
4763087,0,0.01
4763087,0,0.2
4763087,0,0.0
4763087,0,0.05
4763087,0,0.0
4763087,0,0.01
4763087,0,0.0
4763087,0,0.19
4763087,0,0.02
4763087,0,0.0
4763087,0,0.23
4763087,0,0.02
4763087,0,0.01
4763087,0,0.04
4763087,0,0.01
