orderID,id,subject_address,subject_gla_clean,subject_bedrooms_clean,subject_bathrooms_clean,subject_room_count_clean,subject_lot_size_clean,subject_property_type_clean,subject_stories_clean,subject_effective_date_clean,candidate_address,candidate_gla_clean,candidate_bedrooms_clean,candidate_bathrooms_clean,candidate_room_count_clean,candidate_lot_size_clean,candidate_property_type_clean,candidate_stories_clean,candidate_close_date_clean,score,rank
4764103,208167,10 Crofton Rd Toronto ON M4G2B4,1602.0,2.0,3.0,6.0,3694.0,Semi Detached,2 Storey,2025-04-16,142 Donlea Drive ,,4.0,0.0,6.0,3240.0,Semi Detached,2 Storey,2025-03-23,3.0002503,3.0
4761696,3314,11 Bermondsey Way Stittsville ON K2S2Y7,1751.0,3.0,2.5,7.0,3358.0,Townhouse,2 Storey,2025-04-14,103 MOJAVE Cres,1663.0,3.0,3.0,11.0,2100.0,Townhouse,2 Storey,2025-01-31,3.0896237,1.0
4761696,77745,11 Bermondsey Way Stittsville ON K2S2Y7,1751.0,3.0,2.5,7.0,3358.0,Townhouse,2 Storey,2025-04-14,1030 PAMPERO Cres ,,2.0,3.0,5.0,1470.0,Townhouse,2 Storey,2025-02-05,3.0896237,2.0
4761696,77661,11 Bermondsey Way Stittsville ON K2S2Y7,1751.0,3.0,2.5,7.0,3358.0,Townhouse,2 Storey,2025-04-14,504 PAINE Ave ,1696.0,3.0,3.0,8.0,1960.0,Townhouse,2 Storey,2025-02-10,3.0896237,3.0
4762154,298305,306 11 SPRINGVALE AVE Halifax NS B3N0A3,1523.0,2.0,2.0,6.0,,Condominium,1 Storey,2025-04-15,92 Forestside Crescent,1681.0,3.0,1.5,9.0,,Condominium,2 Storey,2025-02-26,-2.328637,1.0
4762154,298238,306 11 SPRINGVALE AVE Halifax NS B3N0A3,1523.0,2.0,2.0,6.0,,Condominium,1 Storey,2025-04-15,75 Forestside Crescent,1386.0,4.0,2.5,10.0,,Condominium,2 Storey,2025-03-06,-2.328637,2.0
4762154,304027,306 11 SPRINGVALE AVE Halifax NS B3N0A3,1523.0,2.0,2.0,6.0,,Condominium,1 Storey,2025-04-15,Unit 514 202 Walter Havill Drive,1463.0,2.0,2.0,7.0,,Condominium,,2025-05-13,-2.328637,3.0
4762330,10386,229 SANDPIPER CRES Chestermere AB T1X0Y4,2456.0,4.0,2.5,10.0,5909.436,Detached,2 Storey,2025-04-14,15 Sandpiper Bend ,2323.0,4.0,3.0,11.0,5244.0,Detached,2 Storey,2025-01-21,3.0896237,1.0
4762330,10295,229 SANDPIPER CRES Chestermere AB T1X0Y4,2456.0,4.0,2.5,10.0,5909.436,Detached,2 Storey,2025-04-14,109 Kinniburgh Cove ,2608.0,6.0,3.5,14.0,4951.0,Detached,2 Storey,2025-01-27,3.0896237,2.0
4762330,10223,229 SANDPIPER CRES Chestermere AB T1X0Y4,2456.0,4.0,2.5,10.0,5909.436,Detached,2 Storey,2025-04-14,209 Kinniburgh Boulevard ,2483.0,4.0,3.5,18.0,4004.0,Detached,2 Storey,2025-01-31,3.0896237,3.0
