orderID,id,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,subj_room_count,room_count_clean,room_count_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,sold_recently_90,sold_recently_180,pred,close_price,rank
4759260,304137.0,864.0,1082.0,218.0,15936.0,28747.0,12811.0,Detached,Detached,1.0,1 Storey,1.5 Storey,0.0,5.0,6.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1,1,-0.09915107,,3
4759498,78281.0,1774.0,1901.0,127.0,3137.0,3640.0,503.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,8.0,1.0,3.0,3.0,0.0,3.5,3.0,0.5,1,1,0.51545256,747800.0,1
4759498,78620.0,1774.0,2250.0,476.0,3137.0,4240.0,1103.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,8.0,1.0,3.0,3.0,0.0,3.5,4.0,0.5,1,1,0.36649314,835000.0,2
4759498,78715.0,1774.0,1572.0,202.0,3137.0,3248.0,111.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,6.0,1.0,3.0,3.0,0.0,3.5,3.0,0.5,1,1,0.3618765,661400.0,3
4759512,299448.0,1795.0,1685.0,110.0,6300.0,4799.0,1501.0,Detached,Detached,1.0,1.5 Storey,2 Storey,0.0,7.0,8.0,1.0,3.0,3.0,0.0,1.5,1.5,0.0,1,1,0.5678548,866500.0,1
4759512,295875.0,1795.0,912.0,883.0,6300.0,6900.0,600.0,Detached,Detached,1.0,1.5 Storey,1.5 Storey,1.0,7.0,8.0,1.0,3.0,2.0,1.0,1.5,1.0,0.5,1,1,0.2152378,490000.0,2
4759512,295567.0,1795.0,1056.0,739.0,6300.0,5145.0,1155.0,Detached,Detached,1.0,1.5 Storey,2 Storey,0.0,7.0,8.0,1.0,3.0,3.0,0.0,1.5,1.5,0.0,1,1,0.20519474,477000.0,3
4759561,296377.0,3137.0,1560.0,1577.0,14375.0,3796.0,10579.0,Duplex,Detached,0.0,2 Storey,2 Storey,1.0,15.0,14.0,1.0,5.0,4.0,1.0,4.0,4.0,0.0,1,1,-0.75129443,951000.0,1
4759561,296540.0,3137.0,2462.0,675.0,14375.0,0.0,14375.0,Duplex,Detached,0.0,2 Storey,2 Storey,1.0,15.0,13.0,2.0,5.0,4.0,1.0,4.0,3.5,0.5,1,1,-0.81051666,825000.0,2
4759561,296498.0,3137.0,1370.0,1767.0,14375.0,3815.0,10560.0,Duplex,Semi Detached,0.0,2 Storey,2 Storey,1.0,15.0,11.0,4.0,5.0,4.0,1.0,4.0,3.5,0.5,1,1,-0.8841842,689900.0,3
4759562,299275.0,1132.0,1243.0,111.0,3500.0,3257.0,243.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,6.0,8.0,2.0,3.0,3.0,0.0,1.5,1.5,0.0,1,1,0.50960785,470500.0,1
4759562,293026.0,1132.0,704.0,428.0,3500.0,3049.0,451.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,6.0,8.0,2.0,3.0,4.0,1.0,1.5,1.5,0.0,1,1,0.48942482,421000.0,2
4759562,293274.0,1132.0,1100.0,32.0,3500.0,3004.0,496.0,Semi Detached,Semi Detached,1.0,2 Storey,2 Storey,1.0,6.0,8.0,2.0,3.0,3.0,0.0,1.5,2.0,0.5,1,1,0.41230673,450000.0,3
4759604,297791.0,1788.0,1762.0,26.0,14232.0,5733.0,8499.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,9.0,1.0,3.0,4.0,1.0,1.5,1.5,0.0,1,1,0.6197149,1005000.0,1
4759604,294817.0,1788.0,1475.0,313.0,14232.0,8100.0,6132.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,9.0,1.0,3.0,3.0,0.0,1.5,1.5,0.0,1,1,0.578902,548500.0,2
4759604,295567.0,1788.0,1056.0,732.0,14232.0,5145.0,9087.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,8.0,0.0,3.0,3.0,0.0,1.5,1.5,0.0,1,1,0.2519494,477000.0,3
4759647,297613.0,2264.0,2160.0,104.0,33943.0,57400.0,23457.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,11.0,2.0,4.0,4.0,0.0,2.5,2.5,0.0,0,1,0.6011347,682500.0,1
4759647,299222.0,2264.0,1825.0,439.0,33943.0,53687.0,19744.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,10.0,1.0,4.0,3.0,1.0,2.5,2.5,0.0,1,1,0.54304594,536300.0,2
4759647,299877.0,2264.0,1604.0,660.0,33943.0,313632.0,279689.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,13.0,4.0,4.0,3.0,1.0,2.5,2.5,0.0,1,1,0.29916182,792000.0,3
4759723,288.0,2530.0,2488.0,42.0,5987.0,5433.78,553.2200000000003,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,9.0,0.0,3.0,4.0,1.0,3.5,3.5,0.0,1,1,0.75912714,972000.0,1
4759723,77530.0,2530.0,2703.0,173.0,5987.0,4746.0,1241.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,11.0,2.0,3.0,4.0,1.0,3.5,4.0,0.5,1,1,0.3454928,916410.0,2
4759723,77274.0,2530.0,2081.0,449.0,5987.0,5632.0,355.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,9.0,12.0,3.0,3.0,3.0,0.0,3.5,3.0,0.5,1,1,-0.024693402,795000.0,3
4759846,297322.0,1637.0,1432.0,205.0,6000.0,4200.0,1800.0,Detached,Detached,1.0,Split Level,2 Storey,0.0,7.0,6.0,1.0,3.0,3.0,0.0,1.5,2.0,0.5,1,1,0.34307414,721500.0,1
