orderID,subject_gla,subject_lot_size,subject_bedrooms,subject_bathrooms,subject_property_type,subject_stories,subject_effective_date,rank,probability_score,candidate_gla,candidate_lot_size,candidate_bedrooms,candidate_bathrooms,candidate_property_type,candidate_stories,candidate_sale_date,gla_difference,lot_size_difference,bedroom_difference,bathroom_difference,is_same_property_type,is_same_storey_type,sold_within_90_days,sold_within_180_days
4761220,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,1,0.019999999552965164,1598.0,2460.0,3.0,0.0,Semi Detached,2 Storey,2025-03-28,73.0,159.0,0.0,3.5,1.0,1.0,1,1
4761220,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,2,0.017999999225139618,1750.0,2352.0,4.0,0.0,Detached,2 Storey,2025-03-18,225.0,267.0,1.0,3.5,0.0,1.0,1,1
4761220,1525.0,2619.0,3.0,3.5,Semi Detached,2 Storey,2025-04-14,3,0.010999999940395355,1750.0,2369.0,3.0,0.0,Townhouse,2 Storey,2025-01-14,225.0,250.0,0.0,3.5,0.0,1.0,1,1
4761433,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,1,0.04800000041723251,2494.0,11029.0,5.0,4.0,Detached,2 Storey,2025-03-21,401.0,15671.0,1.0,1.0,1.0,0.0,1,1
4761433,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,2,0.027000000700354576,1310.0,7000.0,4.0,2.0,Detached,Split Level,2025-05-01,1585.0,19700.0,0.0,1.0,1.0,0.0,1,1
4761433,2895.0,26700.0,4.0,3.0,Detached,1 Storey,2025-04-15,3,0.02500000037252903,1206.0,8776.0,4.0,2.5,Detached,Split Level,2025-01-31,1689.0,17924.0,0.0,0.5,1.0,0.0,1,1
4761446,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,1,0.27300000190734863,1300.0,6600.0,3.0,2.0,Detached,2 Storey,2025-01-15,378.0,937.0,0.0,0.0,1.0,0.0,1,1
4761446,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,2,0.2639999985694885,1335.0,6600.0,3.0,2.0,Detached,Split Level,2025-02-19,343.0,937.0,0.0,0.0,1.0,0.0,1,1
4761446,1678.0,5663.0,3.0,2.0,Detached,Bungalow,2025-04-10,3,0.12600000202655792,900.0,8250.0,2.0,2.0,Detached,Bungalow Raised,2025-01-25,778.0,2587.0,1.0,0.0,1.0,0.0,1,1
4761696,1751.0,3358.0,3.0,2.5,Townhouse,2 Storey,2025-04-14,1,0.7889999747276306,1696.0,1960.0,3.0,3.0,Townhouse,2 Storey,2025-02-10,55.0,1398.0,0.0,0.5,1.0,1.0,1,1
4761696,1751.0,3358.0,3.0,2.5,Townhouse,2 Storey,2025-04-14,2,0.25,,1470.0,2.0,3.0,Townhouse,2 Storey,2025-02-05,,1888.0,1.0,0.5,1.0,1.0,1,1
4761696,1751.0,3358.0,3.0,2.5,Townhouse,2 Storey,2025-04-14,3,0.09000000357627869,1726.0,3267.0,3.0,0.0,Semi Detached,2 Storey,2025-01-16,25.0,91.0,0.0,2.5,0.0,1.0,1,1
4762154,1523.0,,2.0,2.0,Condominium,1 Storey,2025-04-15,1,0.3089999854564667,1463.0,,2.0,2.0,Condominium,,2025-05-13,60.0,,0.0,0.0,1.0,,1,1
4762154,1523.0,,2.0,2.0,Condominium,1 Storey,2025-04-15,2,0.26899999380111694,989.0,,2.0,2.0,Condominium,1 Storey,2025-03-07,534.0,,0.0,0.0,1.0,1.0,1,1
4762154,1523.0,,2.0,2.0,Condominium,1 Storey,2025-04-15,3,0.13300000131130219,1010.0,,2.0,2.0,Condominium,1 Storey,2025-05-13,513.0,,0.0,0.0,1.0,1.0,1,1
4762330,2456.0,5909.436,4.0,2.5,Detached,2 Storey,2025-04-14,1,0.9430000185966492,2323.0,5244.0,4.0,3.0,Detached,2 Storey,2025-01-21,133.0,665.436,0.0,0.5,1.0,1.0,1,1
4762330,2456.0,5909.436,4.0,2.5,Detached,2 Storey,2025-04-14,2,0.9259999990463257,2242.0,19589.0,4.0,2.5,Detached,2 Storey,2025-04-16,214.0,13679.564,0.0,0.0,1.0,1.0,1,1
4762330,2456.0,5909.436,4.0,2.5,Detached,2 Storey,2025-04-14,3,0.8519999980926514,2527.0,4968.0,4.0,3.5,Detached,2 Storey,2025-02-22,71.0,941.436,0.0,1.0,1.0,1.0,1,1
